__AVR_AT94K__	io_at94k
__AVR_AT43USB320__	io_43u32x
__AVR_AT43USB355__	io_43u35x
__AVR_AT76C711__	io_76c711
__AVR_AT86RF401__	io_86r401
__AVR_AT90PWM1__	io_90pwm1
__AVR_AT90PWM2__	io_90pwmx
__AVR_AT90PWM2B__	io_90pwm2b
__AVR_AT90PWM3__	io_90pwmx
__AVR_AT90PWM3B__	io_90pwm3b
__AVR_AT90PWM216__	io_90pwm216
__AVR_AT90PWM316__	io_90pwm316
__AVR_AT90PWM161__	io_90pwm161
__AVR_AT90PWM81__	io_90pwm81
__AVR_ATmega8U2__	io_m8u2
__AVR_ATmega16M1__	io_m16m1
__AVR_ATmega16U2__	io_m16u2
__AVR_ATmega16U4__	io_m16u4
__AVR_ATmega32C1__	io_m32c1
__AVR_ATmega32M1__	io_m32m1
__AVR_ATmega32U2__	io_m32u2
__AVR_ATmega32U4__	io_m32u4
__AVR_ATmega32U6__	io_m32u6
__AVR_ATmega64C1__	io_m64c1
__AVR_ATmega64M1__	io_m64m1
__AVR_ATmega128__	io_m128
__AVR_ATmega128A__	io_m128a
__AVR_ATmega1280__	io_m1280
__AVR_ATmega1281__	io_m1281
__AVR_ATmega1284__	io_m1284
__AVR_ATmega1284P__	io_m1284p
__AVR_ATmega128RFA1__	io_m128rfa1
__AVR_ATmega1284RFR2__	io_m1284rfr2
__AVR_ATmega128RFR2__	io_m128rfr2
__AVR_ATmega2564RFR2__	io_m2564rfr2
__AVR_ATmega256RFR2__	io_m256rfr2
__AVR_ATmega2560__	io_m2560
__AVR_ATmega2561__	io_m2561
__AVR_AT90CAN32__	io_can32
__AVR_AT90CAN64__	io_can64
__AVR_AT90CAN128__	io_can128
__AVR_AT90USB82__	io_usb82
__AVR_AT90USB162__	io_usb162
__AVR_AT90USB646__	io_usb646
__AVR_AT90USB647__	io_usb647
__AVR_AT90USB1286__	io_usb1286
__AVR_AT90USB1287__	io_usb1287
__AVR_ATmega644RFR2__	io_m644rfr2
__AVR_ATmega64RFR2__	io_m64rfr2
__AVR_ATmega64__	io_m64
__AVR_ATmega64A__	io_m64a
__AVR_ATmega640__	io_m640
__AVR_ATmega644__	io_m644
__AVR_ATmega644A__	io_m644a
__AVR_ATmega644P__	io_m644p
__AVR_ATmega644PA__	io_m644pa
__AVR_ATmega645__	io_m645
__AVR_ATmega645A__	io_m645
__AVR_ATmega645P__	io_m645
__AVR_ATmega6450__	io_m6450
__AVR_ATmega6450A__	io_m6450
__AVR_ATmega6450P__	io_m6450
__AVR_ATmega649__	io_m649
__AVR_ATmega649A__	io_m649
__AVR_ATmega6490__	io_m6490
__AVR_ATmega6490A__	io_m6490
__AVR_ATmega6490P__	io_m6490
__AVR_ATmega649P__	io_m649p
__AVR_ATmega64HVE__	io_m64hve
__AVR_ATmega64HVE2__	io_m64hve2
__AVR_ATmega103__	io_m103
__AVR_ATmega32__	io_m32
__AVR_ATmega32A__	io_m32a
__AVR_ATmega323__	io_m323
__AVR_ATmega324P__	io_m324
__AVR_ATmega324A__	io_m324
__AVR_ATmega324PA__	io_m324pa
__AVR_ATmega325__	io_m325
__AVR_ATmega325A__	io_m325
__AVR_ATmega325P__	io_m325
__AVR_ATmega325PA__	io_m325pa
__AVR_ATmega3250__	io_m3250
__AVR_ATmega3250A__	io_m3250
__AVR_ATmega3250P__	io_m3250
__AVR_ATmega3250PA__	io_m3250pa
__AVR_ATmega328P__	io_m328p
__AVR_ATmega328__	io_m328p
__AVR_ATmega329__	io_m329
__AVR_ATmega329A__	io_m329
__AVR_ATmega329P__	io_m329
__AVR_ATmega329PA__	io_m329
__AVR_ATmega3290__	io_m3290
__AVR_ATmega3290A__	io_m3290
__AVR_ATmega3290P__	io_m3290
__AVR_ATmega3290PA__	io_m3290pa
__AVR_ATmega32HVB__	io_m32hvb
__AVR_ATmega32HVBREVB__	io_m32hvbrevb
__AVR_ATmega406__	io_m406
__AVR_ATmega16__	io_m16
__AVR_ATmega16A__	io_m16a
__AVR_ATmega161__	io_m161
__AVR_ATmega162__	io_m162
__AVR_ATmega163__	io_m163
__AVR_ATmega164P__	io_m164
__AVR_ATmega164A__	io_m164
__AVR_ATmega164PA__	io_m164pa
__AVR_ATmega165__	io_m165
__AVR_ATmega165A__	io_m165a
__AVR_ATmega165P__	io_m165p
__AVR_ATmega165PA__	io_m165pa
__AVR_ATmega168__	io_m168
__AVR_ATmega168A__	io_m168a
__AVR_ATmega168P__	io_m168p
__AVR_ATmega168PA__	io_m168pa
__AVR_ATmega169__	io_m169
__AVR_ATmega169A__	io_m169
__AVR_ATmega169P__	io_m169p
